_code,ticker,company_name,country,gics_sector,gics_industry_group,gics_industry,last_include,first_include
CNE100001526,002594 C2 Equity,BYD Co Ltd,CH,25,2510,251020,2024-05-31,2018-06-01
HK0285041858,285 HK Equity,BYD Electronic International Co Ltd,CH,45,4520,452010,2024-05-31,2017-12-01
US0567521085,BIDU UW Equity,Baidu Inc,CH,50,5020,502030,2022-05-31,2015-12-01
KYG070341048,9888 HK Equity,Baidu Inc,CH,50,5020,502030,2024-05-31,2022-06-01
CNE100000734,601169 C1 Equity,Bank of Beijing Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100003F50,601577 C1 Equity,Bank of Changsha Co Ltd,CH,40,4010,401010,2024-05-31,2021-12-01
CNE100002SN6,601838 C1 Equity,Bank of Chengdu Co Ltd,CH,40,4010,401010,2024-05-31,2019-06-01
CNE000001N05,601988 C1 Equity,Bank of China Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE1000001Z5,3988 HK Equity,Bank of China Ltd,CH,40,4010,401010,2024-05-31,2014-03-01
CNE1000000S2,601328 C1 Equity,Bank of Communications Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100000205,3328 HK Equity,Bank of Communications Co Ltd,CH,40,4010,401010,2024-05-31,2014-03-01
CNE100002FX2,601997 C1 Equity,Bank of Guiyang Co Ltd,CH,40,4010,401010,2020-05-31,2018-06-01
CNE100002GQ4,600926 C1 Equity,Bank of Hangzhou Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100002G76,600919 C1 Equity,Bank of Jiangsu Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100000627,601009 C1 Equity,Bank of Nanjing Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE1000005P7,002142 C2 Equity,Bank of Ningbo Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100002FM5,601229 C1 Equity,Bank of Shanghai Co Ltd,CH,40,4010,401010,2024-05-31,2018-06-01
CNE100003LQ2,002966 C2 Equity,Bank of Suzhou Co Ltd,CH,40,4010,401010,2024-05-31,2022-12-01
CNE0000015R4,600019 C1 Equity,Baoshan Iron & Steel Co Ltd,CH,15,1510,151040,2024-05-31,2018-06-01
US06684L1035,BZUN UW Equity,Baozun Inc,CH,25,2550,255030,2021-11-30,2018-09-01
CNE100000643,002151 C2 Equity,Beijing BDStar Navigation Co Ltd,CH,45,4520,452010,2022-05-31,2020-12-01
CNE000001782,600376 C1 Equity,Beijing Capital Development Co Ltd,CH,60,6020,602010,2020-11-30,2019-12-01
CNE000001295,600008 C1 Equity,Beijing Capital Eco-Environment Protection Group Co Ltd,CH,55,5510,551040,2019-05-31,2018-06-01
CNE100000221,694 HK Equity,Beijing Capital International Airport Co Ltd,CH,20,2030,203050,2023-11-30,2014-03-01
CNE100000N61,002385 C2 Equity,Beijing Dabeinong Technology Group Co Ltd,CH,30,3020,302020,2024-05-31,2018-06-01
CNE1000012M0,300212 C2 Equity,Beijing E-Hualu Information Technology Co Ltd,CH,45,4510,451030,2024-02-29,2020-06-01
CNE100000NN1,300073 C2 Equity,Beijing Easpring Material Technology Co Ltd,CH,20,2010,201040,2024-02-29,2021-12-01
CNE100001617,300251 C2 Equity,Beijing Enlight Media Co Ltd,CH,50,5020,502020,2024-05-31,2019-12-01
